Sample_ID,Tree_species,Soil_Litter
ALBL_001L,ALBL,Litter
ALBL_002L,ALBL,Litter
ALBL_003L,ALBL,Litter
ALBL_004L,ALBL,Litter
ALBL_005L,ALBL,Litter
ALBL_006L,ALBL,Litter
ALBL_007L,ALBL,Litter
ALBL_008L,ALBL,Litter
COBI_001L,COBI,Litter
COBI_002L,COBI,Litter
COBI_003L,COBI,Litter
COBI_004L,COBI,Litter
COBI_005L,COBI,Litter
COBI_006L,COBI,Litter
COBI_007L,COBI,Litter
DIGU_005CL,DIGU,Litter
DIGU_006CL,DIGU,Litter
DIGU_007CL,DIGU,Litter
DIGU_008CL,DIGU,Litter
DIGU_010CL,DIGU,Litter
DIGU_011CL,DIGU,Litter
DIGU_012CL,DIGU,Litter
DIGU_013CL,DIGU,Litter
DIGU_014CL,DIGU,Litter
DIGU_019CL,DIGU,Litter
DIGU_161HL,DIGU,Litter
DIGU_162HL,DIGU,Litter
DIGU_164HL,DIGU,Litter
DIGU_165HL,DIGU,Litter
DIGU_166HL,DIGU,Litter
DIGU_167HL,DIGU,Litter
DIGU_168HL,DIGU,Litter
DIGU_169HL,DIGU,Litter
HECO_001CL,HECO,Litter
HECO_002CL,HECO,Litter
HECO_003CL,HECO,Litter
HECO_004CL,HECO,Litter
HECO_005CL,HECO,Litter
HECO_006CL,HECO,Litter
HECO_007CL,HECO,Litter
HECO_008CL,HECO,Litter
HECO_009CL,HECO,Litter
HECO_010CL,HECO,Litter
HECO_151HL,HECO,Litter
HECO_152HL,HECO,Litter
HECO_153HL,HECO,Litter
HECO_154HL,HECO,Litter
HECO_155HL,HECO,Litter
HECO_156HL,HECO,Litter
HECO_158HL_45,HECO,Litter
HECO_159HL,HECO,Litter
HECO_160HL,HECO,Litter
HITR_031CL,HITR,Litter
HITR_033CL,HITR,Litter
HITR_035CL,HITR,Litter
HITR_037CL,HITR,Litter
HITR_038CL,HITR,Litter
HITR_039CL,HITR,Litter
HITR_040CL,HITR,Litter
HITR_181HL,HITR,Litter
HITR_182HL,HITR,Litter
HITR_183HL,HITR,Litter
HITR_184HL,HITR,Litter
HITR_185HL,HITR,Litter
HITR_186HL,HITR,Litter
HITR_187HL,HITR,Litter
HITR_188HL,HITR,Litter
HITR_190HL,HITR,Litter
JACO_001L,JACO,Litter
JACO_002L,JACO,Litter
JACO_003L,JACO,Litter
JACO_004L,JACO,Litter
JACO_005L,JACO,Litter
JACO_006L,JACO,Litter
PRCO_001L,PRCO,Litter
PRCO_002L,PRCO,Litter
PRCO_003L,PRCO,Litter
PRCO_004L,PRCO,Litter
PRCO_005L,PRCO,Litter
PRCO_006L,PRCO,Litter
PRCO_008L,PRCO,Litter
SIAM_021CL,SIAM,Litter
SIAM_022CL,SIAM,Litter
SIAM_023CL,SIAM,Litter
SIAM_024CL,SIAM,Litter
SIAM_026CL,SIAM,Litter
SIAM_027CL,SIAM,Litter
SIAM_028CL,SIAM,Litter
SIAM_029CL,SIAM,Litter
SIAM_030CL,SIAM,Litter
SIAM_171HL,SIAM,Litter
SIAM_172HL,SIAM,Litter
SIAM_173HL,SIAM,Litter
SIAM_174HL,SIAM,Litter
SIAM_177HL,SIAM,Litter
SIAM_178HL,SIAM,Litter
SIAM_179HL,SIAM,Litter
SIAM_180HL,SIAM,Litter
TAGU_001L,TAGU,Litter
TAGU_002L,TAGU,Litter
TAGU_003L,TAGU,Litter
TAGU_005L,TAGU,Litter
TAGU_006L,TAGU,Litter
TAGU_007L,TAGU,Litter
TAGU_008L,TAGU,Litter
TEPA_001L,TEPA,Litter
TEPA_002L,TEPA,Litter
TEPA_003L,TEPA,Litter
TEPA_004L,TEPA,Litter
TEPA_005L,TEPA,Litter
VISE_001L,VISE,Litter
VISE_002L,VISE,Litter
VISE_003L,VISE,Litter
VISE_004L,VISE,Litter
VISE_005L,VISE,Litter
VISE_006L,VISE,Litter
VISE_007L,VISE,Litter
VISE_008L,VISE,Litter
VISE_009L,VISE,Litter
ALBL_001S,ALBL,Soil
ALBL_002S,ALBL,Soil
ALBL_003S,ALBL,Soil
ALBL_004S,ALBL,Soil
ALBL_005S,ALBL,Soil
ALBL_006S,ALBL,Soil
ALBL_007S,ALBL,Soil
ALBL_008S,ALBL,Soil
COBI_001S,COBI,Soil
COBI_002S,COBI,Soil
COBI_003S,COBI,Soil
COBI_004S,COBI,Soil
COBI_005S,COBI,Soil
COBI_006S,COBI,Soil
COBI_007S,COBI,Soil
DIGU_011CS,DIGU,Soil
DIGU_012CS,DIGU,Soil
DIGU_013CS_178,DIGU,Soil
DIGU_013CS_213,DIGU,Soil
DIGU_014CS,DIGU,Soil
DIGU_015CS,DIGU,Soil
DIGU_016CS,DIGU,Soil
DIGU_017CS,DIGU,Soil
DIGU_018CS,DIGU,Soil
DIGU_019CS,DIGU,Soil
DIGU_020CS,DIGU,Soil
DIGU_161HS,DIGU,Soil
DIGU_162HS,DIGU,Soil
DIGU_163HS,DIGU,Soil
DIGU_165HS,DIGU,Soil
