combination,SumsOfSqs,MeanSqs,F.Model,R2,P.value,P.value.corrected,,,,,,,,,,,
ALBL <-> COBI,0.434351589,0.434351589,1.347800735,0.093937793,0.005,0.008088235,,0.008,0.003,0.003,0.011,0.086,0.036,0.004,0.007,0.022,0.007
ALBL <-> DIGU,0.717458485,0.717458485,2.317537188,0.088060565,0.001,0.0025,,,0.003,0.003,0.036,0.014,0.009,0.019,0.101,0.128,0.078
ALBL <-> HECO,0.779267451,0.779267451,2.416920946,0.088154354,0.001,0.0025,,,,0.07,0.008,0.003,0.003,0.003,0.003,0.003,0.003
ALBL <-> HITR,0.437199579,0.437199579,1.3460566,0.063058795,0.007,0.010694444,,,,,0.004,0.003,0.003,0.003,0.003,0.006,0.003
ALBL <-> JACO,0.388577181,0.388577181,1.209288236,0.091548327,0.081,0.085673077,,,,,,0.003,0.003,0.077,0.004,0.031,0.004
ALBL <-> PRCO,0.394813701,0.394813701,1.253084287,0.087916711,0.03,0.035869565,,,,,,,0.004,0.003,0.013,0.079,0.019
ALBL <-> SIAM,0.524512236,0.524512236,1.655654975,0.069989818,0.002,0.003928571,,,,,,,,0.003,0.004,0.022,0.003
ALBL <-> TAGU,0.474987507,0.474987507,1.575721895,0.108105925,0.004,0.006875,,,,,,,,,0.003,0.012,0.003
ALBL <-> TEPA,0.446323751,0.446323751,1.436736781,0.115523614,0.017,0.021744186,,,,,,,,,,0.053,0.007
ALBL <-> VISE,0.534346869,0.534346869,1.622238858,0.097594486,0.004,0.006875,,,,,,,,,,,0.221
COBI <-> DIGU,0.594610967,0.594610967,1.907579732,0.076586314,0.001,0.0025,,,,,,,,,,,
COBI <-> HECO,0.653188737,0.653188737,2.009814292,0.077271382,0.001,0.0025,,,,,,,,,,,
COBI <-> HITR,0.432717553,0.432717553,1.318529691,0.064892968,0.03,0.035869565,,,,,,,,,,,
COBI <-> JACO,0.415213085,0.415213085,1.270338314,0.1035292,0.01,0.014102564,,,,,,,,,,,
COBI <-> PRCO,0.458840384,0.458840384,1.43559373,0.10685004,0.006,0.009428571,,,,,,,,,,,
COBI <-> SIAM,0.443616947,0.443616947,1.388563572,0.06202111,0.014,0.018780488,,,,,,,,,,,
COBI <-> TAGU,0.355187437,0.355187437,1.165126597,0.088500979,0.097,0.100660377,,,,,,,,,,,
COBI <-> TEPA,0.370369285,0.370369285,1.173312999,0.105010304,0.126,0.128333333,,,,,,,,,,,
COBI <-> VISE,0.393742207,0.393742207,1.177791396,0.077599656,0.071,0.0781,,,,,,,,,,,
DIGU <-> HECO,0.391646635,0.391646635,1.241589405,0.034258691,0.061,0.069895833,,,,,,,,,,,
DIGU <-> HITR,0.494629495,0.494629495,1.565967523,0.049609362,0.005,0.008088235,,,,,,,,,,,
DIGU <-> JACO,0.561098803,0.561098803,1.805818483,0.075856181,0.001,0.0025,,,,,,,,,,,
DIGU <-> PRCO,0.803999479,0.803999479,2.613410278,0.10203289,0.001,0.0025,,,,,,,,,,,
DIGU <-> SIAM,0.527811486,0.527811486,1.697576081,0.050376801,0.001,0.0025,,,,,,,,,,,
DIGU <-> TAGU,0.671776517,0.671776517,2.239713661,0.088737681,0.001,0.0025,,,,,,,,,,,
DIGU <-> TEPA,0.579447428,0.579447428,1.902199744,0.083057513,0.001,0.0025,,,,,,,,,,,
DIGU <-> VISE,0.752388911,0.752388911,2.374761281,0.086750027,0.001,0.0025,,,,,,,,,,,
HECO <-> HITR,0.542431021,0.542431021,1.663812388,0.050937483,0.002,0.003928571,,,,,,,,,,,
HECO <-> JACO,0.676316849,0.676316849,2.083359175,0.083057423,0.001,0.0025,,,,,,,,,,,
HECO <-> PRCO,0.857251654,0.857251654,2.669708147,0.100102638,0.001,0.0025,,,,,,,,,,,
HECO <-> SIAM,0.55773812,0.55773812,1.73961564,0.050075846,0.001,0.0025,,,,,,,,,,,
HECO <-> TAGU,0.784824127,0.784824127,2.501679027,0.094397001,0.001,0.0025,,,,,,,,,,,
HECO <-> TEPA,0.594818995,0.594818995,1.862067852,0.078034639,0.003,0.005689655,,,,,,,,,,,
HECO <-> VISE,0.690248413,0.690248413,2.098670355,0.074689312,0.001,0.0025,,,,,,,,,,,
HITR <-> JACO,0.51435849,0.51435849,1.568720928,0.080164715,0.001,0.0025,,,,,,,,,,,
HITR <-> PRCO,0.584827231,0.584827231,1.80915381,0.086940287,0.001,0.0025,,,,,,,,,,,
HITR <-> SIAM,0.389195208,0.389195208,1.208734983,0.041382654,0.069,0.07744898,,,,,,,,,,,
HITR <-> TAGU,0.560569113,0.560569113,1.785634621,0.08590715,0.002,0.003928571,,,,,,,,,,,
HITR <-> TEPA,0.458178516,0.458178516,1.425741373,0.077377694,0.025,0.03125,,,,,,,,,,,
HITR <-> VISE,0.549847297,0.549847297,1.652655089,0.072956352,0.002,0.003928571,,,,,,,,,,,
JACO <-> PRCO,0.474952166,0.474952166,1.491913064,0.119430311,0.002,0.003928571,,,,,,,,,,,
JACO <-> SIAM,0.495265504,0.495265504,1.553648393,0.072082849,0.001,0.0025,,,,,,,,,,,
JACO <-> TAGU,0.384945955,0.384945955,1.273642634,0.103770549,0.009,0.013026316,,,,,,,,,,,
JACO <-> TEPA,0.397585711,0.397585711,1.267511875,0.123448786,0.073,0.07872549,,,,,,,,,,,
JACO <-> VISE,0.432539277,0.432539277,1.293617361,0.090503148,0.014,0.018780488,,,,,,,,,,,
PRCO <-> SIAM,0.660688264,0.660688264,2.09725003,0.090800854,0.001,0.0025,,,,,,,,,,,
PRCO <-> TAGU,0.510336431,0.510336431,1.717980747,0.125235687,0.002,0.003928571,,,,,,,,,,,
PRCO <-> TEPA,0.45630747,0.45630747,1.489693087,0.129654733,0.017,0.021744186,,,,,,,,,,,
PRCO <-> VISE,0.593736579,0.593736579,1.812238951,0.114609889,0.001,0.0025,,,,,,,,,,,
SIAM <-> TAGU,0.601903364,0.601903364,1.963238858,0.085494859,0.001,0.0025,,,,,,,,,,,
SIAM <-> TEPA,0.478599784,0.478599784,1.531712529,0.074602278,0.008,0.011891892,,,,,,,,,,,
SIAM <-> VISE,0.587258437,0.587258437,1.810480946,0.072972424,0.001,0.0025,,,,,,,,,,,
TAGU <-> TEPA,0.409160611,0.409160611,1.417803436,0.124174798,0.045,0.052659574,,,,,,,,,,,
TAGU <-> VISE,0.471601976,0.471601976,1.497304121,0.09661707,0.004,0.006875,,,,,,,,,,,
TEPA <-> VISE,0.355907378,0.355907378,1.092866507,0.083470377,0.221,0.221,,,,,,,,,,,
