combination,SumsOfSqs,MeanSqs,F.Model,R2,P.value,P.value.corrected,,,,,,,,,,,
ALBL <-> COBI,0.483143756,0.483143756,1.043110933,0.074279192,0.375,0.749736842,,0.75,0.595,0.595,0.75,0.709,0.874,0.874,0.891,0.68,0.874
ALBL <-> DIGU,0.536177584,0.536177584,1.095262228,0.083638052,0.118,0.595294118,,,0.055,0.532,0.532,0.532,0.646,0.532,0.532,0.874,0.595
ALBL <-> HECO,0.534224023,0.534224023,1.099097751,0.108831282,0.157,0.595294118,,,,1,0.75,0.595,0.595,0.874,0.595,0.778,0.595
ALBL <-> HITR,0.464669468,0.464669468,0.960325779,0.053469285,0.516,0.749736842,,,,,0.75,0.595,0.642,0.848,0.595,0.75,0.646
ALBL <-> JACO,0.473831911,0.473831911,1.029031883,0.078979919,0.335,0.708653846,,,,,,0.595,0.75,0.874,0.642,0.631,0.75
ALBL <-> PRCO,0.398920745,0.398920745,0.836646532,0.06046599,0.809,0.873653846,,,,,,,1,0.62,0.774,0.595,0.75
ALBL <-> SIAM,0.442883446,0.442883446,0.902710917,0.05340628,0.73,0.873653846,,,,,,,,0.874,0.75,0.75,0.874
ALBL <-> TAGU,0.396772782,0.396772782,0.832048992,0.060153705,0.859,0.891415094,,,,,,,,,0.75,0.87,0.75
ALBL <-> TEPA,0.500942528,0.500942528,1.050462184,0.104518794,0.309,0.6798,,,,,,,,,,0.874,0.874
ALBL <-> VISE,0.395953288,0.395953288,0.827940435,0.052308791,0.824,0.873653846,,,,,,,,,,,0.646
COBI <-> DIGU,0.654150788,0.654150788,1.398091137,0.112766645,0.001,0.055,,,,,,,,,,,
COBI <-> HECO,0.584519813,0.584519813,1.282272748,0.138142111,0.057,0.531666667,,,,,,,,,,,
COBI <-> HITR,0.648178108,0.648178108,1.383150248,0.079568446,0.052,0.531666667,,,,,,,,,,,
COBI <-> JACO,0.649579292,0.649579292,1.489293387,0.119245608,0.045,0.531666667,,,,,,,,,,,
COBI <-> PRCO,0.505137911,0.505137911,1.108005394,0.084528909,0.282,0.64625,,,,,,,,,,,
COBI <-> SIAM,0.605220492,0.605220492,1.274667126,0.078322163,0.038,0.531666667,,,,,,,,,,,
COBI <-> TAGU,0.618057092,0.618057092,1.355519295,0.101495065,0.058,0.531666667,,,,,,,,,,,
COBI <-> TEPA,0.349342621,0.349342621,0.78412207,0.089265844,0.705,0.873653846,,,,,,,,,,,
COBI <-> VISE,0.553903619,0.553903619,1.203046477,0.079131934,0.179,0.595294118,,,,,,,,,,,
DIGU <-> HECO,0.5,0.5,1,0.125,1,1,,,,,,,,,,,
