combination,SumsOfSqs,MeanSqs,F.Model,R2,P.value,P.value.corrected
ALBL <-> COBI,0.749159489766789,0.749159489766789,2.428285414356504,0.15739178717143176,0.001,0.018333333333333333
ALBL <-> DIGU,0.5558018455482727,0.5558018455482727,1.5823880832940234,0.06185458832623076,0.014,0.06416666666666666
ALBL <-> HECO,0.4962518500987516,0.4962518500987516,1.3999283589722256,0.051092409462954416,0.067,0.17250000000000001
ALBL <-> HITR,0.5235764879435624,0.5235764879435624,1.565527237912485,0.05893077987468935,0.023,0.0973076923076923
ALBL <-> JACO,0.49925579666362985,0.49925579666362985,1.5716601263711312,0.11580455977653273,0.027,0.10607142857142857
ALBL <-> PRCO,0.27740463616948696,0.27740463616948696,0.8995375621994258,0.06471708559900359,0.617,0.7536170212765958
ALBL <-> SIAM,0.5421988857461317,0.5421988857461317,1.433645007733822,0.05423561553143252,0.056,0.154
ALBL <-> TAGU,0.7165610103047712,0.7165610103047712,2.090122531964523,0.12990097047504148,0.001,0.018333333333333333
ALBL <-> TEPA,0.32855124501094424,0.32855124501094424,1.099037425094202,0.09902096758493216,0.33,0.5185714285714286
ALBL <-> VISE,0.38237466467992703,0.38237466467992703,1.149321572073181,0.07586620738131818,0.239,0.41078125
COBI <-> DIGU,0.5631106838133835,0.5631106838133835,1.5109340065562566,0.06164326525264634,0.03,0.10999999999999999
COBI <-> HECO,0.6709493098993913,0.6709493098993913,1.7923259960259246,0.06689699118664719,0.003,0.04125
COBI <-> HITR,0.7424049504866395,0.7424049504866395,2.0954412220145806,0.08029912980535577,0.001,0.018333333333333333
COBI <-> JACO,0.5706327948874851,0.5706327948874851,1.587496745538369,0.12611695380187934,0.014,0.06416666666666666
COBI <-> PRCO,0.6923655082887924,0.6923655082887924,2.001500943551175,0.14294902750929916,0.006,0.04125
COBI <-> SIAM,0.7210740249818677,0.7210740249818677,1.8032554579257258,0.06988480429789483,0.005,0.04125
COBI <-> TAGU,0.5694097528104549,0.5694097528104549,1.4979279510034746,0.10332014037218301,0.044,0.14235294117647057
COBI <-> TEPA,0.5292030049503476,0.5292030049503476,1.5209374618260934,0.14456292201570678,0.069,0.17250000000000001
COBI <-> VISE,0.3000969485058429,0.3000969485058429,0.8127954683998858,0.058843662042151586,0.777,0.791388888888889
DIGU <-> HECO,0.3423848837224596,0.3423848837224596,0.8946184951760574,0.02424793998867418,0.644,0.7536170212765958
DIGU <-> HITR,0.668462589534528,0.668462589534528,1.8105386790581888,0.04918533507058452,0.005,0.04125
DIGU <-> JACO,0.36130169409156193,0.36130169409156193,0.9493020087398388,0.04136518001193734,0.529,0.7136585365853659
DIGU <-> PRCO,0.5446307158246444,0.5446307158246444,1.4616323159903495,0.05975203523253408,0.034,0.116875
DIGU <-> SIAM,0.3756109611503239,0.3756109611503239,0.9379485721781771,0.026099112760829702,0.574,0.7341860465116279
DIGU <-> TAGU,0.4958758028168115,0.4958758028168115,1.2713609237861239,0.05030836794347243,0.117,0.22982142857142857
DIGU <-> TEPA,0.3219779090288758,0.3219779090288758,0.8528485355126337,0.040898418940713215,0.736,0.791388888888889
DIGU <-> VISE,0.2741970131027067,0.2741970131027067,0.7138266037434798,0.028883693941405022,0.927,0.927
HECO <-> HITR,0.5213067282785241,0.5213067282785241,1.406985894319217,0.03663359312263357,0.054,0.154
HECO <-> JACO,0.383955719873625,0.383955719873625,1.0060087737761099,0.04023068146849227,0.441,0.6382894736842105
HECO <-> PRCO,0.48210380298434113,0.48210380298434113,1.288086539897103,0.048998870189436966,0.094,0.1914814814814815
HECO <-> SIAM,0.40858540744518007,0.40858540744518007,1.0212660428756732,0.026860390228037538,0.41,0.6094594594594593
HECO <-> TAGU,0.47610413390057527,0.47610413390057527,1.219864422717797,0.04481522772390055,0.143,0.26216666666666666
HECO <-> TEPA,0.3338723873712399,0.3338723873712399,0.880992556302862,0.03850324911102606,0.696,0.791388888888889
HECO <-> VISE,0.3125859957443242,0.3125859957443242,0.812260266770614,0.0302943600684526,0.772,0.791388888888889
HITR <-> JACO,0.6836922466369179,0.6836922466369179,1.8935776013755024,0.07606691298846785,0.006,0.04125
HITR <-> PRCO,0.4639293954757428,0.4639293954757428,1.3096989338968639,0.05174691873330842,0.094,0.1914814814814815
HITR <-> SIAM,0.6384680977724975,0.6384680977724975,1.6479774777806262,0.04377333360744923,0.009,0.049499999999999995
HITR <-> TAGU,0.6216343434910466,0.6216343434910466,1.6724885656704067,0.06270463146146142,0.009,0.049499999999999995
HITR <-> TEPA,0.4975877832014982,0.4975877832014982,1.396625001382789,0.06235872598199774,0.052,0.154
HITR <-> VISE,0.4611960391867801,0.4611960391867801,1.260077593450582,0.04798453427894108,0.126,0.23896551724137932
JACO <-> PRCO,0.4366177502167337,0.4366177502167337,1.2151789238700847,0.09948105807074699,0.214,0.3796774193548387
JACO <-> SIAM,0.3342884940614459,0.3342884940614459,0.8180947199464169,0.034347613844246956,0.744,0.791388888888889
JACO <-> TAGU,0.5452870980438308,0.5452870980438308,1.379609539869163,0.10311284015861154,0.083,0.1826
JACO <-> TEPA,0.31957598125755654,0.31957598125755654,0.8717395870452953,0.09826027674642616,0.641,0.7536170212765958
JACO <-> VISE,0.3088867071835829,0.3088867071835829,0.8056051051261318,0.06291035046861199,0.775,0.791388888888889
PRCO <-> SIAM,0.4629508361883838,0.4629508361883838,1.1579439848956585,0.04602697206062887,0.259,0.4316666666666667
PRCO <-> TAGU,0.5053063714319455,0.5053063714319455,1.329740800821634,0.09279587253562813,0.079,0.18104166666666666
PRCO <-> TEPA,0.3861474315239019,0.3861474315239019,1.1103833376889973,0.10982603731252841,0.319,0.5160294117647058
PRCO <-> VISE,0.3467415413159636,0.3467415413159636,0.939455232357136,0.0673954051071102,0.532,0.7136585365853659
SIAM <-> TAGU,0.5524093858877446,0.5524093858877446,1.3297057091197353,0.05050211057464153,0.075,0.1793478260869565
SIAM <-> TEPA,0.3789007130336152,0.3789007130336152,0.9278411436300292,0.042313383134826486,0.563,0.7341860465116279
SIAM <-> VISE,0.3487708576140028,0.3487708576140028,0.8511565364478222,0.03292527880707261,0.716,0.791388888888889
TAGU <-> TEPA,0.4184504848507507,0.4184504848507507,1.0673457708584713,0.09644098891975608,0.405,0.6094594594594593
TAGU <-> VISE,0.392264582876825,0.392264582876825,0.9826310164880593,0.06558467704415168,0.469,0.6614102564102564
TEPA <-> VISE,0.32927776754997506,0.32927776754997506,0.871434377188121,0.08015817848440308,0.592,0.74
